2025-08-06 22:24:14 | SUCCESS  | __main__:_test_error_handling:505 | Error handling tests completed
2025-08-06 22:24:14 | INFO     | __main__:_generate_day1_report:510 | Generating Day 1 comprehensive report...
2025-08-06 22:24:14 | SUCCESS  | __main__:_generate_day1_report:576 | Day 1 report generated
2025-08-06 22:24:14 | ERROR    | __main__:main:690 | Demo failed with error: 'charmap' codec can't encode character '\U0001f680' in position 2: character maps to <undefined>
2025-08-06 22:24:14 | INFO     | __main__:cleanup:658 | Cleaning up Day 1 demo...
2025-08-06 22:24:14 | INFO     | data_service.data_fetcher:shutdown_mt5:492 | MT5 connection shut down cleanly
2025-08-06 22:24:14 | INFO     | __main__:cleanup:662 | Cleanup completed successfully
2025-08-06 22:24:23 | INFO     | __main__:__init__:45 | ============================================================
2025-08-06 22:24:23 | INFO     | __main__:__init__:46 | SMC Trading Bot - Day 1 Demo Starting
2025-08-06 22:24:23 | INFO     | __main__:__init__:47 | ============================================================
2025-08-06 22:24:23 | INFO     | data_service.data_fetcher:__init__:57 | Enhanced MT5 Data Fetcher initialized
2025-08-06 22:24:23 | INFO     | __main__:__init__:63 | Initialized with symbols: ['EURUSD', 'GBPUSD', 'USDJPY']
2025-08-06 22:24:23 | INFO     | __main__:__init__:64 | Test timeframes: ['M15', 'H1', 'H4']
2025-08-06 22:24:23 | INFO     | __main__:run_day1_tests:68 | Starting Day 1 comprehensive tests...
2025-08-06 22:24:23 | INFO     | __main__:_test_mt5_connection:87 | Testing MT5 connection...
2025-08-06 22:24:23 | INFO     | data_service.data_fetcher:initialize_mt5:67 | Initializing MT5 connection...
2025-08-06 22:24:24 | INFO     | data_service.data_fetcher:initialize_mt5:87 | MT5 initialized successfully - Account: 94003752
2025-08-06 22:24:24 | INFO     | data_service.data_fetcher:initialize_mt5:88 | Server: MetaQuotes-Demo, Balance: 82808.54
2025-08-06 22:24:24 | SUCCESS  | __main__:_test_mt5_connection:118 | MT5 connection test completed in 0.02s
2025-08-06 22:24:24 | INFO     | __main__:_test_data_fetching:138 | Testing data fetching...
2025-08-06 22:24:24 | INFO     | __main__:_test_data_fetching:143 | Testing data fetch for EURUSD
2025-08-06 22:24:24 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for EURUSD
2025-08-06 22:24:24 | INFO     | __main__:_test_data_fetching:181 |   M15: 500 candles, quality: 0.616
